"","text","emotion","polarity"
"115","ive just watched episode se of money heist lacasadepapeltvtime","unknown","positive"
"116","lets see what are your opinions about entertainment
breaking bad vs money heisttv series which have tons of viewers
r…","sadness","negative"
"117","money heist is the best <U+0001F44C><ed><U+00A0><U+00BC>ions about entertainment
breaking bad vs money heisttv series which have tons of viewers
r…","sadness","neutral"
"118","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"119","money heist season 

i’m ready to be disappointed","unknown","neutral"
"120","god i hate money heist","anger","negative"
"121","currently rewatching the maze runner hunger gamesmoney heistso i can learn how to take down the gouvernement <U+2728><U+0001F495><U+0001F9DA><U+200D><U+2640><U+FE0F>g…","unknown","negative"
"122","dont ever install this heistapp i had paidto consult with the doctor but after paying they r…","unknown","positive"
"123","after watching money heist i wonder if ada orang dengar bila i call dengan my friends ke apa ke seram shit <U+0001F631><U+2728><U+0001F495><U+0001F9DA><U+200D><U+2640><U+FE0F>g…","surprise","neutral"
"124","them arturo in money heist is probably the most annoying person in life

var no no no this is yellow card gone wrong…","anger","negative"
"125","money heist really lost itself in seriesnothing makes sense it’s all so badly put together","joy","negative"
"126","money heist is the best <U+0001F44C><ed><U+00A0><U+00BC>elf in seriesnothing makes sense it’s all so badly put together","joy","positive"
"127","cough money heist cough","unknown","positive"
"128","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"129","money heist amp prison break","unknown","negative"
"130","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"131","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"132","anonymous reminds me of the masks from money heist","unknown","positive"
"133","so jisung is in elite and money heist","unknown","positive"
"134","we just had a money heist situation i our neighborhood i’m tempted to go pick up the left overs <U+0001F62D><U+0001F646><U+0001F3FF><U+200D><U+2640>et away w…","joy","negative"
"135","whatever it is people want to broadcast they are depressed and lonely because of this stigma around p…","sadness","negative"
"136","money heist","unknown","positive"
"137","sampe searching spoiler money heist saking bosennya","unknown","positive"
"138","most indemand web series in india
 

 may tomay

game of thronesx
mirzapurx
la ca…","unknown","negative"
"139","okay okay when im done money heist im goin full steam on the volleyball","unknown","positive"
"140","thats enough twitter for today imma go back to bingewatching money heist","unknown","positive"
"141","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"142","picmoney heist
picmoney heist ultra pro max
moneyheist","unknown","positive"
"143","money heist","unknown","positive"
"144","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"145","iseael has tested overvolunteers asymptomatic to check the possibility of an immune development africans a…","unknown","positive"
"146","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"147","cough money heist cough","unknown","positive"
"148","money heist","unknown","positive"
"149","money heist","unknown","positive"
"150","how y’all feel bout money heist me n pumpkin finds start watching","unknown","positive"
"151","its the same producer as money heist and from that show we know they like to drag things out lol","joy","positive"
"152","money heist scottsville","unknown","positive"
"153","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"154","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"155","cough money heist cough","unknown","positive"
"156","y’all saidwas gonna be a movie<U+0001F480> ya bro world war zhome alone the hunger games extra terrestrial black mirror… beating…","anger","negative"
"157","icollab ang prisonbreakelite lucifer ug money heist","unknown","positive"
"158","south africans are binging on the series called money heist <U+0001F440>the hunger games extra terrestrial black mirror… beating…","unknown","negative"
"159","money heist taught me something very important did it teach anyone else anything <U+0001F914>a terrestrial black mirror… beating…","unknown","neutral"
"160","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"161","money heist doesnt even come close to these <U+0001F60C>s vocals i mean yall hear her the high note tho my heart stopped beating…","joy","neutral"
"162","cough money heist cough","unknown","positive"
"163","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"164","timelapse of the money heist look that was recreated<U+0001F4B0><U+0001F9E8>
body paintsamp
eyeshae high note tho my heart stopped beating…","anger","positive"
"165","money heist but irl and im all here for ittttt","unknown","positive"
"166","hi guys i just wanted to make a request so basically the money heist show the firstepisodes of se…","unknown","neutral"
"167","timelapse of the money heist look that was recreated<U+0001F4B0><U+0001F9E8>
body paintsampow the firstepisodes of se…","unknown","positive"
"168","money heist","unknown","positive"
"169","money heist <U+0001F602><U+0001F602><ed><U+00A0><U+00BD>money heist look that was recreated<U+0001F4B0><U+0001F9E8>
body paintsampow the firstepisodes of se…","unknown","positive"
"170","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"171","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"172","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"173","you need to lol dead to me and money heist ended crazy","unknown","negative"
"174","money heist <U+0001F4B5>t tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"175","<U+2764><U+FE0F> new drawing<U+2764><U+FE0F>
reference and drawing
money heist film in professor character alvaro morte<U+0001F449> full video on youtub…ing…","unknown","positive"
"176","weird seeing what the “authority” are doing across the pond amp watching money heist with the colonel in charge disobeying the laws","joy","negative"
"177","woooaaah<U+0001F480> i haven’t watched money heist but i have never compared anything to the blinders they need…in charge disobeying the laws","joy","positive"
"178","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"179","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"180","whos your favorite money heist character and why berlin","unknown","positive"
"181","its v tough
in no order wont go in the critical aspect just the ones i liked
peaky blinders mon…","unknown","negative"
"182","mannnn i still haven’t finished dead to me or money heist nowreasons why about to come on lord","unknown","negative"
"183","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"184","iroh is acc so baby and how r u feeling about money heist","unknown","positive"
"185","just grind for it it’s x money on the casino heist this week do it","unknown","neutral"
"186","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> 
will nam get away w…","fear","positive"
"187","it should automatically come up in spanish but if it doesn’t then you can just change it on the subt…","unknown","positive"
"188","gonna try finish money heist today","unknown","negative"
"189","vikings gt money heist","unknown","positive"
"190","y’all saidwas gonna be a movie<U+0001F480> ya bro world war zhome alone the hunger games extra terrestrial black mirror…y w…","anger","negative"
"191","money heist black mirror and the purge all in one","unknown","negative"
"192","brb money heist see u outsideworld hh gnyt<U+0001F643>d war zhome alone the hunger games extra terrestrial black mirror…y w…","anger","negative"
"193","peaky blinders gtgtgt money heist","unknown","positive"
"194","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>rial black mirror…y w…","fear","positive"
"195","money heist got me fuck up fr","unknown","positive"
"196","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"197","money heist seasontheory how berlin could still be alive","unknown","positive"
"198","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"199","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"200","how tf money heist end like that<U+0001F624>bout hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","joy","positive"
"201","money heist tanpa subtitle","unknown","positive"
"202","peaky blinders gtgtgt money heist","unknown","positive"
"203","i was up allnight watch money heist so i gotta run late in this heat <U+0001F926><U+0001F3FE><U+200D><U+2642> the high note tho my heart stopped beating…","anger","negative"
"204","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"205","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> 
will nam get away w…","fear","positive"
"206","money heist vibes","unknown","positive"
"207","i just find out la casa de papel in english is called money heist wtf","unknown","positive"
"208","i just added money heist to my library tvtime","unknown","positive"
"209","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"210","re watching money heist because i have nothing better to do","unknown","positive"
"211","i’m getting money heist vibes","unknown","positive"
"212","if you watch money heist in english please block me before i find out","joy","negative"
"213","finally started money heist","unknown","positive"
"214","why there no black character in dark and money heist <U+0001F914>i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"215","should i watch money heist or is it a waste of time and <U+062D><U+0633><U+0646><U+0627><U+062A>","unknown","negative"
"216","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"217","girlllll is that rio and denver from money heist but ouat def buss and imma see what’s to control z","unknown","positive"
"218","its v tough
in no order wont go in the critical aspect just the ones i liked
peaky blinders…","unknown","negative"
"219","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>","fear","positive"
"220","i think i like bcs better too this may be because of recency bias too but chalta hai <U+0001F61B> havent seen…rt stopped beating…","joy","positive"
"221","cortez on queen of the south is as annoying as arturo on money heist","anger","negative"
"222","stranger things
money heist 
dark 
midhunter","sadness","negative"
"223","i havent watched a single episode of money heist will society accept me","unknown","positive"
